t,ID_Tag,x,y,z
0,1,1.292181555757,-0.100147336766475,0.207464577613874
0.1,1,1.41318138468012,-0.228279440445067,0.667331083573133
0.2,1,1.35809514992895,-0.493332449442544,1.28383857348267
0.3,1,1.13467423261196,-0.560126146642661,1.86470378407858
0.4,1,0.790412077838495,-0.413166521875568,2.54018360642601
0.5,1,0.397590703015857,-0.598663717147034,3.15333261240284
0.6,1,0.257735947066385,-0.638310470257867,3.77305073703105
0.7,1,0.314305791598482,-0.637183792530179,4.24096472217522
0.8,1,0.46186325462985,-0.524411246463093,4.52132343066847
0.9,1,1.03778958882001,-0.537046404077387,4.66302800457281
1,1,1.9566452612039,-0.656474763176468,4.68621814607024
1.1,1,2.82156555397037,-0.506307448446107,4.6123308470845
1.2,1,3.81965900795959,-0.44126831651888,4.30835946567046
1.3,1,4.56803292880834,-0.298947995563409,4.15575917396914
1.4,1,5.28260389441509,0.00215723250307899,4.28024218871478
1.5,1,5.49760992403122,0.273671472392834,4.43444409873344
1.6,1,5.54839893660103,0.718945953663026,4.63355635704792
1.7,1,5.64183327276185,1.20491095230368,4.67315825849429
1.8,1,5.49272200274212,1.71939381850422,4.74847584203858
1.9,1,5.46696057437652,2.43961508361012,4.58275909209723
2,1,5.34683822834884,2.95863867738967,4.2254293746066
2.1,1,5.15560906825363,3.52392761169999,4.01994753748254
2.2,1,5.09522602677296,3.80080218248213,3.78489417206387
2.3,1,4.86028837564581,3.93910978924561,3.72351082952968
2.4,1,4.30720690010983,3.79365743751716,4.05554004030069
2.5,1,3.91862355940471,3.72183389961967,4.47873097982669
2.6,1,3.41210135900248,3.58746484945245,4.99442992625417
2.7,1,2.78841712258608,3.52809849856664,5.30730218629438
2.8,1,2.36058466033314,3.78243995593562,5.34192987268472
2.9,1,1.90930966011406,4.29850945523988,5.20986735445139
3,1,1.63093377333383,5.03311546634979,4.79953327745482
3.1,1,1.45581408253651,5.60349349898163,4.59902852766302
3.2,1,1.10317329135153,5.89869497523354,4.56143166476096
3.3,1,0.662563090380687,6.2238233167772,4.67742995182084
3.4,1,0.227522813107576,6.14395825906442,4.90515683071324
3.5,1,-0.150772236655943,5.79190882560988,5.0945838090203
3.6,1,-0.599671421132138,5.11676482692314,5.32772147401231
3.7,1,-1.01513583172182,4.57678166727641,5.30927083341263
3.8,1,-1.3424875643185,3.90017223654239,5.00286576256634
3.9,1,-1.64431047543122,3.50102938971002,4.60554314381076
4,1,-2.02500818060807,3.12145307999907,4.10069114414262
4.1,1,-2.33358922734106,2.86975443801708,3.94802731974045
4.2,1,-2.58605152615175,2.54831510466211,3.76925599959769
4.3,1,-3.20818993142813,2.43291425911066,3.83689257756161
4.4,1,-3.7158809869213,2.36771259728616,4.25816060517157
4.5,1,-4.19160042798305,2.25701812459498,4.54952141121056
4.6,1,-4.67362304592581,1.86920315050285,4.65511421212069
4.7,1,-5.00741780477621,1.82938971442799,4.76519875790295
4.8,1,-5.21188286565252,1.37641218235289,4.57897816634968
4.9,1,-5.23032658154506,0.746303540955501,4.26548991538048
5,1,-4.78536888715469,0.382106344428127,4.07933364622707
5.1,1,-4.37233889217534,0.118242996152286,4.12892076817977
5.2,1,-3.85347710953135,-0.320312656114053,4.17936935506011
5.3,1,-3.30142791125678,-0.491908784157933,4.54034045248922
