t,ID_Tag,ID_Anchor,range
0,1,10,17.6881566529905
0.1,1,10,17.2362081088098
0.2,1,10,19.2120831075715
0.3,1,10,16.9600405344899
0.4,1,10,16.7449516190078
0.5,1,10,21.5882780126719
0.6,1,10,16.4617453030394
0.7,1,10,16.5401125672807
0.8,1,10,16.4808717181595
0.9,1,10,16.1955400062261
1,1,10,16.2974073430448
1.1,1,10,16.4889003482888
1.2,1,10,16.6229239222636
1.3,1,10,16.4163882934277
1.4,1,10,16.3788848959476
1.5,1,10,16.3107925355435
1.6,1,10,16.1142389655314
1.7,1,10,15.8072008600992
1.8,1,10,15.4760554999698
1.9,1,10,15.1408289292102
2,1,10,14.7805311740508
2.1,1,10,14.413599823122
2.2,1,10,13.6678093398073
2.3,1,10,13.5029035191048
2.4,1,10,13.1992400783153
2.5,1,10,12.8560610249988
2.6,1,10,12.9292486946081
2.7,1,10,12.6275543826693
2.8,1,10,12.4409956631729
2.9,1,10,8.32834855837049
3,1,10,12.2294123773561
3.1,1,10,11.8831656412535
3.2,1,10,11.5273097190851
3.3,1,10,11.4780816991723
3.4,1,10,11.1610331554709
3.5,1,10,10.8295236414603
3.6,1,10,10.7343829970104
3.7,1,10,10.5784311683227
3.8,1,10,10.3679768268252
3.9,1,10,10.1779018008943
4,1,10,9.84868308239465
4.1,1,10,9.95453444504686
4.2,1,10,9.55161513038089
4.3,1,10,9.539747718192
4.4,1,10,9.67388542377424
4.5,1,10,9.38465911384317
4.6,1,10,14.3876049431046
4.7,1,10,9.56578122763898
4.8,1,10,9.33706846808157
4.9,1,10,9.05763831956929
5,1,10,9.04723338475985
5.1,1,10,9.15745914734582
5.2,1,10,9.02554291058221
5.3,1,10,9.07314928298697
5.4,1,10,9.36538385695573
5.5,1,10,7.1163629809291
5.6,1,10,9.23459107562982
5.7,1,10,9.32527852716083
5.8,1,10,9.28448935861656
5.9,1,10,9.25563054729573
6,1,10,8.99974513380688
6.1,1,10,9.16255046114301
6.2,1,10,8.86738569845545
6.3,1,10,8.73361671530604
6.4,1,10,5.5843722251498
6.5,1,10,8.556385342637
6.6,1,10,8.55459646337851
